Date,Start Time,Date,End Time,Notes
2016-08-16,11:30:00 AM,2016-08-16,1:23:00 PM,
2016-08-16,9:40:00 AM,2016-08-16,10:20:00 AM,
2016-08-16,7:50:00 AM,2016-08-16,8:28:00 AM,
2016-08-16,6:02:00 AM,2016-08-16,7:00:00 AM,
2016-08-16,1:33:36 AM,2016-08-16,4:55:44 AM,
2016-08-15,7:45:25 PM,2016-08-16,1:08:50 AM,
2016-08-15,2:43:46 PM,2016-08-15,3:14:31 PM,
2016-08-15,11:24:02 AM,2016-08-15,1:08:17 PM,
2016-08-15,9:29:42 AM,2016-08-15,10:00:58 AM,
2016-08-15,8:40:02 AM,2016-08-15,8:48:18 AM,
2016-08-15,6:59:37 AM,2016-08-15,7:40:17 AM,
2016-08-15,4:10:55 AM,2016-08-15,6:40:12 AM,
2016-08-14,9:19:49 PM,2016-08-15,3:40:37 AM,
2016-08-14,7:23:52 PM,2016-08-14,9:04:57 PM,
2016-08-14,5:25:46 PM,2016-08-14,5:55:00 PM,
2016-08-14,2:11:33 PM,2016-08-14,2:49:46 PM,
2016-08-14,12:48:46 PM,2016-08-14,1:08:25 PM,
2016-08-14,10:43:33 AM,2016-08-14,11:27:25 AM,
2016-08-14,6:15:32 AM,2016-08-14,6:58:35 AM,
2016-08-14,3:08:31 AM,2016-08-14,5:40:39 AM,
2016-08-13,8:40:42 PM,2016-08-14,2:51:05 AM,
2016-08-13,5:37:34 PM,2016-08-13,6:00:04 PM,
2016-08-13,4:21:49 PM,2016-08-13,5:08:00 PM,
2016-08-13,1:21:35 PM,2016-08-13,2:21:24 PM,
2016-08-13,9:45:59 AM,2016-08-13,11:18:14 AM,
2016-08-13,4:27:49 AM,2016-08-13,7:06:57 AM,
2016-08-13,12:30:58 AM,2016-08-13,3:52:51 AM,
2016-08-12,9:04:15 PM,2016-08-13,12:07:20 AM,
2016-08-12,8:05:51 PM,2016-08-12,8:48:43 PM,
2016-08-12,7:29:33 PM,2016-08-12,7:55:58 PM,
2016-08-12,7:00:00 PM,2016-08-12,7:18:00 PM,
2016-08-12,4:10:00 PM,2016-08-12,5:00:00 PM,
2016-08-12,3:15:02 PM,2016-08-12,3:42:49 PM,
2016-08-12,2:50:46 PM,2016-08-12,3:07:16 PM,
2016-08-12,2:10:17 PM,2016-08-12,2:33:59 PM,
2016-08-12,1:34:23 PM,2016-08-12,1:36:46 PM,
2016-08-12,12:55:25 PM,2016-08-12,1:01:58 PM,
2016-08-12,11:57:21 AM,2016-08-12,12:30:10 PM,
2016-08-12,11:29:45 AM,2016-08-12,11:42:23 AM,
2016-08-12,5:19:12 AM,2016-08-12,7:01:10 AM,
2016-08-11,11:59:42 PM,2016-08-12,3:45:11 AM,
2016-08-11,8:47:58 PM,2016-08-11,11:43:50 PM,
2016-08-11,5:29:11 PM,2016-08-11,6:28:11 PM,
2016-08-11,4:45:35 PM,2016-08-11,4:54:28 PM,
2016-08-11,3:48:29 PM,2016-08-11,4:01:39 PM,
2016-08-11,2:34:33 PM,2016-08-11,3:03:37 PM,
2016-08-11,2:20:21 PM,2016-08-11,2:30:42 PM,
2016-08-11,1:33:27 PM,2016-08-11,1:54:56 PM,
2016-08-11,9:45:41 AM,2016-08-11,11:29:02 AM,
2016-08-11,7:31:38 AM,2016-08-11,8:04:38 AM,
2016-08-11,6:08:14 AM,2016-08-11,7:00:00 AM,
2016-08-11,3:19:59 AM,2016-08-11,5:43:30 AM,
2016-08-11,3:04:59 AM,2016-08-11,3:12:55 AM,
2016-08-10,9:15:44 PM,2016-08-11,2:45:38 AM,
2016-08-10,8:50:54 PM,2016-08-10,8:57:46 PM,
2016-08-10,6:34:21 PM,2016-08-10,6:54:10 PM,
